Name,Link
Lavender Vanilla,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/lavender-vanilla/ORCL_1152864.html
Kitchen Spice™,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/kitchen-spice/ORCL_1218400.html
Buttercream®,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/buttercream/ORCL_115461.html
Cinnamon Stick,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/cinnamon-stick/ORCL_1055974.html
Chocolate Layer Cake,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/chocolate-layer-cake/ORCL_1303319.html
Soft Blanket™ - Returning Favorite,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/soft-blanket---returning-favorite/ORCL_1731732.html
Mediterranean Breeze,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/mediterranean-breeze/ORCL_1521678.html
Vanilla Cupcake,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/vanilla-cupcake/ORCL_1093707.html
French Vanilla,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/french-vanilla/ORCL_11512.html
A Calm & Quiet Place,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/a-calm-quiet-place/ORCL_1577119.html
Cucumber Mint Cooler,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/cucumber-mint-cooler/ORCL_1728839W.html
Sparkling Cinnamon,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/sparkling-cinnamon/ORCL_1100952.html
Jamaica Vibes,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/jamaica-vibes/ORCL_1763416.html
’Tis the Sea-Sun in Sydney,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/tis-the-sea-sun-in-sydney/ORCL_2642999.html
Summit Stargazing,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/summit-stargazing/ORCL_2652639.html
Sparkling Winterberry,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/sparkling-winterberry/ORCL_1742550.html
Colorful Curaçao,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/colorful-cura%25C3%25A7ao/ORCL_1763417.html
St Lucia Skies,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/st-lucia-skies/ORCL_1763412.html
Santa On Skis,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/santa-on-skis/ORCL_2652642.html
Blueberry - Returning Favorite,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/blueberry---returning-favorite/ORCL_1632871.html
Autumn DayDream,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/autumn-daydream/ORCL_1742551W.html
Magical Bright Lights,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/magical-bright-lights/ORCL_1742548.html
Shimmering Christmas Tree,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/shimmering-christmas-tree/ORCL_1742555.html
White Strawberry Bellini,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/white-strawberry-bellini/ORCL_1611842.html
Juicy Watermelon,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/juicy-watermelon/ORCL_1082297.html
Cotton Candy - Returning Favorite,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/cotton-candy---returning-favorite/ORCL_1731730.html
Jelly Beans,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/jelly-beans/ORCL_1328759.html
Sparkling Winterberry,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/sparkling-winterberry/ORCL_1742550W.html
Honey Clementine,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/honey-clementine/ORCL_1510077.html
Café Al Fresco,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/caf%25C3%25A9-al-fresco/ORCL_1521681.html
Salted Caramel,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/salted-caramel/ORCL_1273492W.html
Pumpkin Cinnamon Swirl,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/pumpkin-cinnamon-swirl/ORCL_2642962W.html
Shimmering Christmas Tree,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/shimmering-christmas-tree/ORCL_1742555W.html
Mountain Lodge™,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/mountain-lodge/ORCL_1187957.html
Life's A Breeze,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/lifes-a-breeze/ORCL_1577123.html
New England Maple,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/new-england-maple/ORCL_1584985.html
Strawberry Lemon Ice,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/strawberry-lemon-ice/ORCL_1351664.html
Williamsburg Pineapple,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/williamsburg-pineapple/ORCL_1328763.html
Log Cabin Flannel,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/log-cabin-flannel/ORCL_2642989W.html
Campfire Cocktail,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/campfire-cocktail/ORCL_2642991W.html
Cliffside Sunrise,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/cliffside-sunrise/ORCL_1630398.html
Winter Night Stars,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/winter-night-stars/ORCL_1720941W.html
Holiday Bayberry™,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/holiday-bayberry/ORCL_1035441.html
Williamsburg Bayberry,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/williamsburg-bayberry/ORCL_1545051.html
Wedding Day®,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/wedding-day/ORCL_115438.html
Slopeside Spritz,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/slopeside-spritz/ORCL_2652774.html
Sugared Cinnamon Apple,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/sugared-cinnamon-apple/ORCL_1591457.html
Salted Caramel,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/salted-caramel/ORCL_1273492.html
Snow Globe Wonderland,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/snow-globe-wonderland/ORCL_1720942W.html
